,decimalLatitude,decimalLongitude,eventDate,Year,Month,Day,Depth,ParentEventID,measurementValue,measurementUnit,l_min,l_max,h0,h1,h2,h3,measurementValue_vol_1m,measurementValue_vol_5m,measurementUnit_vol
430,22.0512,155.4182,2012-12-05,2012,12,5,0,Eriksen2014,1.219e-05,n m-2,0.2,inf,577868127186976767,582340940488769535,586841791337070591,591345322244964351,1.219e-05,2.438e-06,n m-3
431,23.9013,155.2417,2012-05-13,2012,5,13,0,Eriksen2014,3.6549999999999994e-05,n m-2,0.2,inf,577868127186976767,582349736581791743,586851686941720575,591354874252230655,3.6549999999999994e-05,7.309999999999999e-06,n m-3
432,23.9013,155.2417,2012-05-13,2012,5,13,0,Eriksen2014,2.031e-05,n m-2,0.2,inf,577868127186976767,582349736581791743,586851686941720575,591354874252230655,2.031e-05,4.062e-06,n m-3
433,25.1033,154.1482,2012-05-14,2012,5,14,0,Eriksen2014,0.00013078,n m-2,0.2,inf,577868127186976767,582349736581791743,586852236697534463,591355767605428223,0.00013078,2.6155999999999998e-05,n m-3
434,26.358,152.2792,2012-05-15,2012,5,15,0,Eriksen2014,1.857e-05,n m-2,0.2,inf,577868127186976767,582349736581791743,586852236697534463,591355561446998015,1.857e-05,3.714e-06,n m-3
435,26.7132,151.782,2012-05-15,2012,5,15,0,Eriksen2014,1.8e-05,n m-2,0.2,inf,577868127186976767,582349736581791743,586850037674278911,591353499862695935,1.8e-05,3.6000000000000003e-06,n m-3
436,27.7877,150.3495,2012-05-16,2012,5,16,0,Eriksen2014,6.06e-05,n m-2,0.2,inf,577868127186976767,582354134628302847,586854985476603903,591353224984788991,6.06e-05,1.2120000000000001e-05,n m-3
437,27.8875,150.1943,2012-05-16,2012,5,16,0,Eriksen2014,8.54e-06,n m-2,0.2,inf,577868127186976767,582354134628302847,586854985476603903,591358378945544191,8.54e-06,1.708e-06,n m-3
438,27.8875,150.1943,2012-05-16,2012,5,16,0,Eriksen2014,4.27e-06,n m-2,0.2,inf,577868127186976767,582354134628302847,586854985476603903,591358378945544191,4.27e-06,8.54e-07,n m-3
440,32.8888,143.7253,2012-05-19,2012,5,19,0,Eriksen2014,6.034e-05,n m-2,0.2,inf,577305177233555455,581799980767903743,586303030639460351,590806355388923903,6.034e-05,1.2068e-05,n m-3
441,32.9825,143.425,2012-05-19,2012,5,19,0,Eriksen2014,8.133e-05,n m-2,0.2,inf,577305177233555455,581799980767903743,586303030639460351,590806355388923903,8.133e-05,1.6266e-05,n m-3
442,32.9825,143.425,2012-05-19,2012,5,19,0,Eriksen2014,0.00012652,n m-2,0.2,inf,577305177233555455,581799980767903743,586303030639460351,590806355388923903,0.00012652,2.5304e-05,n m-3
443,32.16,152.46,2012-06-15,2012,6,15,0,Eriksen2014,5.230000000000001e-06,n m-2,0.2,inf,577305177233555455,581795582721392639,586298632592949247,590802094781366271,5.230000000000001e-06,1.0460000000000002e-06,n m-3
444,32.04,153.19,2012-06-15,2012,6,15,0,Eriksen2014,2.214e-05,n m-2,0.2,inf,577305177233555455,581795582721392639,586298632592949247,590802094781366271,2.214e-05,4.428000000000001e-06,n m-3
445,32.0067,153.3833,2012-06-15,2012,6,15,0,Eriksen2014,2.558e-05,n m-2,0.2,inf,577305177233555455,581795582721392639,586298632592949247,590802094781366271,2.558e-05,5.116e-06,n m-3
446,32.04,153.21,2012-06-15,2012,6,15,0,Eriksen2014,1.66e-05,n m-2,0.2,inf,577305177233555455,581795582721392639,586298632592949247,590802094781366271,1.66e-05,3.32e-06,n m-3
447,31.08,155.33,2012-06-16,2012,6,16,0,Eriksen2014,3.598e-05,n m-2,0.2,inf,577868127186976767,582349736581791743,586851137185906687,591354393215893503,3.598e-05,7.195999999999999e-06,n m-3
448,30.58,156.11,2012-06-16,2012,6,16,0,Eriksen2014,6.818e-05,n m-2,0.2,inf,577868127186976767,582349736581791743,586851137185906687,591354668093800447,6.818e-05,1.3636e-05,n m-3
