,decimalLatitude,decimalLongitude,eventDate,eventDate_end,Year_start,Month_start,Day_start,Year_end,Month_end,Day_end,Depth,ParentEventID,measurementValue,CV,measurementUnit,l_min,l_max,h0,h1,h2,h3
0,37.619157,126.369588,2008-03-01,2009-11-01,2008,3,1,2009,11,1,0,Hong2014,588.0,0.7500000000000001,g m-1,0.025,,577340361605644287,581826369046970367,586328319406899199,590831437997932543
1,37.265887,126.556355,2008-03-02,2009-11-02,2008,3,2,2009,11,2,0,Hong2014,179.0,0.7765363128491621,g m-1,0.025,,577340361605644287,581826369046970367,586328319406899199,590831437997932543
2,36.779073,126.133382,2008-03-03,2009-11-03,2008,3,3,2009,11,3,0,Hong2014,585.0,1.547008547008547,g m-1,0.025,,577340361605644287,581826369046970367,586328319406899199,590831575436886015
3,36.156203,126.506917,2008-03-04,2009-11-04,2008,3,4,2009,11,4,0,Hong2014,713.0,0.7096774193548387,g m-1,0.025,,577340361605644287,581826369046970367,586328319406899199,590831575436886015
4,35.626637,126.484944,2008-03-05,2009-11-05,2008,3,5,2009,11,5,0,Hong2014,1805.0,1.1069252077562328,g m-1,0.025,,577340361605644287,581826369046970367,586326120383643647,590829513852583935
5,35.093539,126.056477,2008-03-06,2009-11-06,2008,3,6,2009,11,6,0,Hong2014,710.0,0.7929577464788732,g m-1,0.025,,577340361605644287,581826369046970367,586329418918526975,590829651291537407
6,34.294129,126.03989,2008-03-07,2009-11-07,2008,3,7,2009,11,7,0,Hong2014,3458.0,0.6807403123192597,g m-1,0.025,,577340361605644287,581826369046970367,586327219895271423,590830682083688447
7,34.375778,126.655232,2008-03-08,2009-11-08,2008,3,8,2009,11,8,0,Hong2014,441.0,0.7006802721088434,g m-1,0.025,,577340361605644287,581826369046970367,586326120383643647,590830682083688447
8,34.73318,127.369644,2008-03-09,2009-11-09,2008,3,9,2009,11,9,0,Hong2014,1595.0,0.6363636363636364,g m-1,0.025,,577340361605644287,581826369046970367,586326120383643647,590829376413630463
9,34.818909,127.545125,2008-03-10,2009-11-10,2008,3,10,2009,11,10,0,Hong2014,1764.0,0.5617913832199546,g m-1,0.025,,577340361605644287,581826369046970367,586326120383643647,590829376413630463
10,34.949585,128.055989,2008-03-11,2009-11-11,2008,3,11,2009,11,11,0,Hong2014,827.0,0.5308343409915356,g m-1,0.025,,577340361605644287,581826369046970367,586326120383643647,590829445133107199
11,34.845962,128.413045,2008-03-12,2009-11-12,2008,3,12,2009,11,12,0,Hong2014,566.0,0.450530035335689,g m-1,0.025,,577340361605644287,581826369046970367,586326120383643647,590829445133107199
12,35.149702,128.616292,2008-03-13,2009-11-13,2008,3,13,2009,11,13,0,Hong2014,761.0,0.6478318002628121,g m-1,0.025,,577340361605644287,581826369046970367,586326120383643647,590829307694153727
13,35.071063,129.07224,2008-03-14,2009-11-14,2008,3,14,2009,11,14,0,Hong2014,183.0,0.9617486338797815,g m-1,0.025,,577340361605644287,581826369046970367,586326120383643647,590830201047351295
14,35.485865,129.410054,2008-03-15,2009-11-15,2008,3,15,2009,11,15,0,Hong2014,245.0,0.9795918367346939,g m-1,0.025,,577340361605644287,581826369046970367,586326670139457535,590829307694153727
15,36.105182,129.42928,2008-03-16,2009-11-16,2008,3,16,2009,11,16,0,Hong2014,506.0,0.5632411067193676,g m-1,0.025,,577340361605644287,581826369046970367,586328869162713087,590832125192699903
16,36.895578,129.410054,2008-03-17,2009-11-17,2008,3,17,2009,11,17,0,Hong2014,199.0,1.0100502512562815,g m-1,0.025,,577340361605644287,581826369046970367,586328869162713087,590831987753746431
