,decimalLatitude,decimalLongitude,eventDate,Year,Month,Day,Depth,ParentEventID,measurementValue,measurementUnit,h0,h1,h2,h3,wind_mag,measurementValue_vol_1m,measurementValue_vol_5m,measurementUnit_vol
1,31.54,-156.86,2011-07-11 12:00:00,2011,7,11,0.15,3,0.0009042284661446345,g m-2,577445914721910783,581927524116725759,586430573988282367,590934036176699391,4.476498603820801,0.0011234827730028409,0.00022470073326956593,gm-3
2,32.2,-156.83,2011-07-11 12:00:00,2011,7,11,0.15,3,0.00047289111389236415,g m-2,577445914721910783,581927524116725759,586446516906885119,590949841656348671,3.400346040725708,0.00048048265265194693,9.609653053048353e-05,gm-3
3,39.12,-156.92,2011-07-14 12:00:00,2011,7,14,0.15,3,0.006152267830784208,g m-2,577445914721910783,581945116302770175,586447066662699007,590950597570592767,6.401569843292236,0.01570061095307674,0.0032836121687379164,gm-3
4,40.2,-156.71,2011-07-14 12:00:00,2011,7,14,0.15,3,0.00019531064218984768,g m-2,577094071001022463,581593272581881855,586096322453438463,590599784641855487,3.4438271522521973,0.00019904921175124143,3.980984235037177e-05,gm-3
5,41.04,-156.24,2011-07-15 12:00:00,2011,7,15,0.15,3,0.0003063749459740443,g m-2,577094071001022463,581593272581881855,586096322453438463,590599784641855487,1.0538166761398315,0.0003063749459740443,6.127498919480887e-05,gm-3
6,41.32,-155.71,2011-07-15 12:00:00,2011,7,15,0.15,3,0.00033312275428649474,g m-2,577094071001022463,581593272581881855,586096322453438463,590599441044471807,1.819496750831604,0.0003331227542864984,6.662455085729968e-05,gm-3
7,41.34,-155.73,2011-07-15 12:00:00,2011,7,15,0.15,3,6.329794264541776e-05,g m-2,577094071001022463,581593272581881855,586096322453438463,590599441044471807,1.819496750831604,6.329794264541846e-05,1.2659588529083691e-05,gm-3
8,41.28,-154.25,2011-07-16 12:00:00,2011,7,16,0.15,3,0.00046463160896280164,g m-2,577445914721910783,581593272581881855,586096322453438463,590599853361332223,0.4189932942390442,0.00046463160896280164,9.292632179256033e-05,gm-3
9,40.55,-151.54,2011-07-17 12:00:00,2011,7,17,0.15,3,0.021484676403405505,g m-2,577445914721910783,581936320209747967,586437171058049023,590940633246466047,2.3667151927948,0.021484699712273715,0.004296939942454743,gm-3
10,40.51,-150.16,2011-07-17 12:00:00,2011,7,17,0.15,3,6.2509808957183e-05,g m-2,577445914721910783,581936320209747967,586436071546421247,590939327576408063,2.3667151927948,6.250987677449015e-05,1.250197535489803e-05,gm-3
11,40.4,-148.05,2011-07-18 12:00:00,2011,7,18,0.15,3,4.6723262641357474e-05,g m-2,577445914721910783,581936320209747967,586436071546421247,590939258856931327,3.7611308097839355,4.9290941200559965e-05,9.858188267588039e-06,gm-3
12,40.24,-146.27,2011-07-18 12:00:00,2011,7,18,0.15,3,1.1693607139604769e-05,g m-2,577445914721910783,581936320209747967,586436621302235135,590940014771175423,4.762149810791016,1.594860768485479e-05,3.190199640977814e-06,gm-3
13,40.09,-144.45,2011-07-19 12:00:00,2011,7,19,0.15,3,2.6502795117414067e-05,g m-2,577445914721910783,581940718256259071,586443768127815679,590947299035709439,2.872464656829834,2.6521231040252494e-05,5.304246208050499e-06,gm-3
14,40.37,-140.93,2011-07-20 12:00:00,2011,7,20,0.15,3,3.362234396276005e-05,g m-2,577445914721910783,581940718256259071,586442668616187903,590945924646174719,2.890002727508545,3.364938243392831e-05,6.729876486785662e-06,gm-3
15,42.06,-137.54,2011-07-21 12:00:00,2011,7,21,0.15,3,3.259433470428087e-05,g m-2,577199624117288959,581676835465592831,586179335581335551,590682522891845631,4.732418060302734,4.400059455010369e-05,8.801207330434948e-06,gm-3
16,43.7,-134.58,2011-07-22 12:00:00,2011,7,22,0.15,3,1.050284629981025e-05,g m-2,577199624117288959,581676835465592831,586177136558079999,590680667465973759,3.592587471008301,1.0847716124412567e-05,2.1695432251073226e-06,gm-3
17,43.68,7.62,2010-07-09 12:00:00,2010,7,9,0.15,4,9.000000000000009e-07,g m-2,577023702256844799,581505311651659775,586008361523216383,590511754992156671,2.655895948410034,9.00073291550904e-07,1.800146583101808e-07,gm-3
18,43.76,8.02,2010-07-09 12:00:00,2010,7,9,0.15,4,0.00013979999999999985,g m-2,577023702256844799,581505311651659775,586008361523216383,590511754992156671,2.196495532989502,0.00013980000347721668,2.7960000695443337e-05,gm-3
19,44.17,8.98,2010-07-10 12:00:00,2010,7,10,0.15,4,0.0001668,g m-2,577023702256844799,581505311651659775,586024304441819135,590527629191282687,2.8235273361206055,0.00016687585350524725,3.337517070104945e-05,gm-3
20,44.29,9.22,2010-07-10 12:00:00,2010,7,10,0.15,4,0.0022814000000000003,g m-2,577023702256844799,581505311651659775,586024304441819135,590527629191282687,2.3949100971221924,0.0022814041657306,0.00045628083314612,gm-3
21,43.88,9.34,2010-07-11 12:00:00,2010,7,11,0.15,4,0.00031200000000000005,g m-2,577023702256844799,581505311651659775,586008361523216383,590511823711633407,0.8696746230125427,0.00031200000000000005,6.240000000000001e-05,gm-3
22,43.2,9.0,2010-07-12 12:00:00,2010,7,12,0.15,4,3.919999999999997e-05,g m-2,577023702256844799,581505311651659775,586008361523216383,590511480114249727,0.8267678618431091,3.919999999999997e-05,7.839999999999994e-06,gm-3
23,42.88,10.23,2010-07-14 12:00:00,2010,7,14,0.15,4,0.0002697999999999997,g m-2,577023702256844799,581505311651659775,586008361523216383,590511548833726463,6.698339939117432,0.000761832017667505,0.00016376634757874395,gm-3
24,42.85,10.29,2010-07-14 12:00:00,2010,7,14,0.15,4,0.0007501000000000003,g m-2,577023702256844799,581505311651659775,586008361523216383,590511548833726463,6.548697471618652,0.0020148302629681243,0.00042673314324181646,gm-3
25,42.99,9.33,2010-07-15 12:00:00,2010,7,15,0.15,4,0.00018470000000000032,g m-2,577023702256844799,581505311651659775,586008361523216383,590511480114249727,1.376131296157837,0.00018470000000000032,3.694000000000006e-05,gm-3
26,42.74,9.04,2010-07-16 12:00:00,2010,7,16,0.15,4,0.00019690000000000031,g m-2,577023702256844799,581505311651659775,586008361523216383,590511480114249727,2.8288733959198,0.00019699393973187255,3.939878794637451e-05,gm-3
27,42.88,8.25,2010-07-21 12:00:00,2010,7,21,0.15,4,0.00013530000000000006,g m-2,577023702256844799,581505311651659775,586008361523216383,590511892431110143,2.468600034713745,0.0001353008586879556,2.706017173759112e-05,gm-3
28,42.86,8.31,2010-07-21 12:00:00,2010,7,21,0.15,4,7.03e-05,g m-2,577023702256844799,581505311651659775,586008361523216383,590511892431110143,1.5622944831848145,7.03e-05,1.4060000000000001e-05,gm-3
29,42.8,8.41,2010-07-21 12:00:00,2010,7,21,0.15,4,0.00024750000000000054,g m-2,577023702256844799,581505311651659775,586008361523216383,590511480114249727,2.0215349197387695,0.00024750000002784415,4.950000000556883e-05,gm-3
30,42.76,8.46,2010-07-21 12:00:00,2010,7,21,0.15,4,7.089999999999992e-05,g m-2,577023702256844799,581505311651659775,586008361523216383,590511480114249727,2.0215349197387695,7.090000000797613e-05,1.4180000001595225e-05,gm-3
31,42.73,8.5,2010-07-21 12:00:00,2010,7,21,0.15,4,7.169999999999986e-05,g m-2,577023702256844799,581505311651659775,586008361523216383,590511480114249727,2.0215349197387695,7.170000000806607e-05,1.4340000001613213e-05,gm-3
32,42.7,8.56,2010-07-21 12:00:00,2010,7,21,0.15,4,0.00014630000000000006,g m-2,577023702256844799,581505311651659775,586008361523216383,590511480114249727,2.0215349197387695,0.0001463000000164587,2.926000000329174e-05,gm-3
33,42.66,8.6,2010-07-21 12:00:00,2010,7,21,0.15,4,0.00020420000000000008,g m-2,577023702256844799,581505311651659775,586008361523216383,590511480114249727,2.0215349197387695,0.00020420000002297246,4.084000000459449e-05,gm-3
34,42.63,8.65,2010-07-21 12:00:00,2010,7,21,0.15,4,0.0003586999999999998,g m-2,577023702256844799,581505311651659775,586008361523216383,590511480114249727,2.2820661067962646,0.00035870006897211734,7.174001379442346e-05,gm-3
35,42.61,8.73,2010-07-21 12:00:00,2010,7,21,0.15,4,0.0005348999999999985,g m-2,577023702256844799,581505311651659775,586008361523216383,590511480114249727,1.2249653339385986,0.0005348999999999985,0.00010697999999999971,gm-3
36,42.81,8.36,2010-07-21 12:00:00,2010,7,21,0.15,4,9.319999999999999e-05,g m-2,577023702256844799,581505311651659775,586008361523216383,590511892431110143,1.5622944831848145,9.319999999999999e-05,1.8639999999999998e-05,gm-3
37,43.25,8.05,2010-07-25 12:00:00,2010,7,25,0.15,4,0.0004605999999999998,g m-2,577023702256844799,581505311651659775,586008361523216383,590511754992156671,4.051517009735107,0.0005121168091968005,0.00010242338479755622,gm-3
38,43.54,8.59,2010-07-26 12:00:00,2010,7,26,0.15,4,0.0002313999999999998,g m-2,577023702256844799,581505311651659775,586008361523216383,590511754992156671,4.491990089416504,0.0002888692580726694,5.777507308243411e-05,gm-3
39,43.46,8.36,2010-07-26 12:00:00,2010,7,26,0.15,4,8.629999999999998e-05,g m-2,577023702256844799,581505311651659775,586008361523216383,590511754992156671,5.028943061828613,0.00012965877783573264,2.5949397377765684e-05,gm-3
